mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
venkatesh iyer,ranji_trophy,madhya pradesh,1,10,2,13,0.07692307692307693
venkatesh iyer,syed_mushtaq_ali_trophy,madhya pradesh,1,10,2,13,0.07692307692307693
digvesh,syed_mushtaq_ali_trophy,delhi,8,10,10,28,0.07142857142857142
shashank,col_c_k_nayudu,pondicherry,7,33,10,50,0.06
abhishek sharma,syed_mushtaq_ali_trophy,punjab,3,14,4,21,0.047619047619047616
abhishek sharma,ranji_trophy,punjab,3,14,4,21,0.047619047619047616
ishan,syed_mushtaq_ali_trophy,jharkhand,20,58,21,99,0.010101010101010102
ishan,ranji_trophy,jharkhand,20,58,21,99,0.010101010101010102
ritesh shakya,ranji_trophy,madhya pradesh,0,1,0,1,0.0
rishant kohli,syed_mushtaq_ali_trophy,haryana,0,3,0,3,0.0
rishant kohli,ranji_trophy,haryana,0,3,0,3,0.0
rm bishnoi,ranji_trophy,gujarat,0,16,0,16,0.0
rawait khan,ecb_club,smethwick,0,1,0,1,0.0
rishabh pant,syed_mushtaq_ali_trophy,delhi,5,11,5,21,0.0
ritesh shakya,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
ravinderpal singh,syed_mushtaq_ali_trophy,chandigarh,0,1,0,1,0.0
ritwik roy chowdhury,syed_mushtaq_ali_trophy,bengal,0,2,0,2,0.0
reshabh dipok,col_c_k_nayudu,assam,0,7,0,7,0.0
rehan sai,col_c_k_nayudu,kerala,0,2,0,2,0.0
rishabh pant,ranji_trophy,delhi,5,11,5,21,0.0
ripudaman singh godhan,col_c_k_nayudu,chandigarh,0,2,0,2,0.0
r b bishnoi jr,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
ravinderpal singh,ranji_trophy,chandigarh,0,1,0,1,0.0
prabhsimran singh,syed_mushtaq_ali_trophy,punjab,0,1,0,1,0.0
piyush chawla,syed_mushtaq_ali_trophy,uttar pradesh,1,3,1,5,0.0
peter francis,second_xi,nsw,0,5,0,5,0.0
parvez,syed_mushtaq_ali_trophy,mizoram,0,1,0,1,0.0
parvez,ranji_trophy,mizoram,0,1,0,1,0.0
parth nagill,col_c_k_nayudu,haryana,0,1,0,1,0.0
parmit singh,col_c_k_nayudu,bengal,0,2,0,2,0.0
parav singla,col_c_k_nayudu,haryana,0,1,0,1,0.0
parameeshwaran s,syed_mushtaq_ali_trophy,pondicherry,0,1,0,1,0.0
parameeshwaran s,ranji_trophy,pondicherry,0,1,0,1,0.0
p vignesh,syed_mushtaq_ali_trophy,tamil nadu,0,1,0,1,0.0
p vignesh,col_c_k_nayudu,tamil nadu,0,1,0,1,0.0
p s kohli,syed_mushtaq_ali_trophy,baroda,0,3,0,3,0.0
p s kohli,ranji_trophy,baroda,0,3,0,3,0.0
p dewli,col_c_k_nayudu,uttarakhand,0,2,0,2,0.0
ok patkal,col_c_k_nayudu,maharashtra,0,6,0,6,0.0
odilemba,col_c_k_nayudu,nagaland,0,1,0,1,0.0
virat singh,ranji_trophy,jharkhand,0,1,0,1,0.0
nishant kushwah,syed_mushtaq_ali_trophy,railways,0,1,0,1,0.0
nishant kushwah,ranji_trophy,railways,0,1,0,1,0.0
nikhil s,col_c_k_nayudu,hyderabad,0,1,0,1,0.0
nikhil m,col_c_k_nayudu,kerala,0,1,0,1,0.0
nikhil kashyap,syed_mushtaq_ali_trophy,haryana,0,1,0,1,0.0
nikhil kashyap,ranji_trophy,haryana,0,1,0,1,0.0
nikhil kanoriya,col_c_k_nayudu,chhattisgarh,0,15,0,15,0.0
nikhil kadam,syed_mushtaq_ali_trophy,maharashtra,0,1,0,1,0.0
prabhsimran singh,ranji_trophy,punjab,0,1,0,1,0.0
prarabdha mishra,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
raman bishnoi,syed_mushtaq_ali_trophy,chandigarh,0,16,0,16,0.0
prarabdha mishra,ranji_trophy,madhya pradesh,0,1,0,1,0.0
raman bishnoi,ranji_trophy,chandigarh,0,16,0,16,0.0
raj limbani,syed_mushtaq_ali_trophy,baroda,0,1,0,1,0.0
raj limbani,ranji_trophy,baroda,0,1,0,1,0.0
raj limbani,col_c_k_nayudu,baroda,0,1,0,1,0.0
rahul rathee,syed_mushtaq_ali_trophy,haryana,0,1,0,1,0.0
rahul rathee,ranji_trophy,haryana,0,1,0,1,0.0
rahul rathee,col_c_k_nayudu,haryana,0,1,0,1,0.0
rahul chowdhary,col_c_k_nayudu,bengal,0,2,0,2,0.0
raghav,col_c_k_nayudu,meghalaya,0,1,0,1,0.0
r v kashyap,syed_mushtaq_ali_trophy,himachal pradesh,0,1,0,1,0.0
r v kashyap,ranji_trophy,himachal pradesh,0,1,0,1,0.0
r sai kishore,syed_mushtaq_ali_trophy,tamil nadu,0,3,0,3,0.0
r sai kishore,ranji_trophy,tamil nadu,0,3,0,3,0.0
r reddy prakash,col_c_k_nayudu,andhra,0,1,0,1,0.0
r k tewatia,syed_mushtaq_ali_trophy,haryana,0,1,0,1,0.0
r k tewatia,ranji_trophy,haryana,0,1,0,1,0.0
r b bishnoi jr,ranji_trophy,rajasthan,0,1,0,1,0.0
pvsn raju,syed_mushtaq_ali_trophy,andhra,0,1,0,1,0.0
pvsn raju,ranji_trophy,andhra,0,1,0,1,0.0
prithvi raj yarra,syed_mushtaq_ali_trophy,andhra,0,3,0,3,0.0
prithvi raj yarra,ranji_trophy,andhra,0,3,0,3,0.0
prikshit kashyap,syed_mushtaq_ali_trophy,himachal pradesh,0,1,0,1,0.0
prikshit kashyap,ranji_trophy,himachal pradesh,0,1,0,1,0.0
prashid akash h,col_c_k_nayudu,tamil nadu,0,1,0,1,0.0
prarabdha mishra,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
rm bishnoi,syed_mushtaq_ali_trophy,gujarat,0,16,0,16,0.0
ziyad zaman,col_c_k_nayudu,assam,0,1,0,1,0.0
rohan kadam,ranji_trophy,goa,0,1,0,1,0.0
sunil bishnoi,col_c_k_nayudu,pondicherry,0,16,0,16,0.0
sumit,syed_mushtaq_ali_trophy,mizoram,0,2,0,2,0.0
sumit,syed_mushtaq_ali_trophy,sikkim,0,2,0,2,0.0
sumit kashyap,col_c_k_nayudu,assam,0,4,0,4,0.0
sumit kashyap,syed_mushtaq_ali_trophy,assam,0,4,0,4,0.0
sumit kushwah,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
sumit kushwah,ranji_trophy,madhya pradesh,0,1,0,1,0.0
sumit kushwah,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
sumit nag,col_c_k_nayudu,bengal,0,2,0,2,0.0
suraj kashyap,col_c_k_nayudu,bihar,0,1,0,1,0.0
swastik,ranji_trophy,uttar pradesh,1,2,1,4,0.0
suraj vashisht,ranji_trophy,services,0,1,0,1,0.0
suraj vashisht,syed_mushtaq_ali_trophy,services,0,1,0,1,0.0
suryansh raina,ranji_trophy,j  k,0,4,0,4,0.0
suryansh raina,syed_mushtaq_ali_trophy,j  k,0,4,0,4,0.0
suyash s prabhudessai,ranji_trophy,goa,0,1,0,1,0.0
suyash s prabhudessai,syed_mushtaq_ali_trophy,goa,0,1,0,1,0.0
suyash sharma,syed_mushtaq_ali_trophy,delhi,0,2,0,2,0.0
swaroop s hipparagi,col_c_k_nayudu,karnataka,0,2,0,2,0.0
sumit,ranji_trophy,sikkim,0,2,0,2,0.0
sumit,ranji_trophy,mizoram,0,2,0,2,0.0
sumit,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
sukhmeet singh,syed_mushtaq_ali_trophy,bengal,0,3,0,3,0.0
soutrik das,col_c_k_nayudu,bengal,0,10,0,10,0.0
spencer johnson,domestic_one_day,sa,0,1,0,1,0.0
spencer johnson,sheffield_shield,sa,0,1,0,1,0.0
sridam paul,col_c_k_nayudu,tripura,0,1,0,1,0.0
sridam paul,ranji_trophy,tripura,0,1,0,1,0.0
sridam paul,syed_mushtaq_ali_trophy,tripura,0,1,0,1,0.0
subham chatterjee,ranji_trophy,bengal,0,2,0,2,0.0
subham chatterjee,syed_mushtaq_ali_trophy,bengal,0,2,0,2,0.0
subham mandal,ranji_trophy,assam,0,1,0,1,0.0
subham mandal,syed_mushtaq_ali_trophy,assam,0,1,0,1,0.0
subham naik,col_c_k_nayudu,odisha,0,1,0,1,0.0
subham priyadarshi,col_c_k_nayudu,odisha,0,1,0,1,0.0
subham singh,col_c_k_nayudu,bengal,0,1,0,1,0.0
subhransu senapati,ranji_trophy,madhya pradesh,0,1,0,1,0.0
subhransu senapati,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
subramanyam,col_c_k_nayudu,andhra,0,3,0,3,0.0
sukhmeet singh,col_c_k_nayudu,bengal,0,3,0,3,0.0
swastik,col_c_k_nayudu,uttar pradesh,1,2,1,4,0.0
swastik,syed_mushtaq_ali_trophy,uttar pradesh,1,2,1,4,0.0
somen mahanti,col_c_k_nayudu,bengal,0,2,0,2,0.0
vaibhav ramanuj,col_c_k_nayudu,saurashtra,0,1,0,1,0.0
tripuresh singh,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
umesh yadav,ranji_trophy,vidarbha,0,1,0,1,0.0
umesh yadav,syed_mushtaq_ali_trophy,vidarbha,0,1,0,1,0.0
umran malik,ranji_trophy,j  k,0,2,0,2,0.0
umran malik,syed_mushtaq_ali_trophy,j  k,0,2,0,2,0.0
vaibhav darkunde,col_c_k_nayudu,maharashtra,0,1,0,1,0.0
vaibhav h b,col_c_k_nayudu,baroda,0,1,0,1,0.0
vaibhav pandey,col_c_k_nayudu,railways,0,1,0,1,0.0
vaibhav s kalta,col_c_k_nayudu,himachal pradesh,0,1,0,1,0.0
swoop s bhuyan,col_c_k_nayudu,odisha,0,1,0,1,0.0
vaibhav s kalta,ranji_trophy,himachal pradesh,0,1,0,1,0.0
vaibhav s kalta,syed_mushtaq_ali_trophy,himachal pradesh,0,1,0,1,0.0
vaibhav singh,col_c_k_nayudu,pondicherry,0,1,0,1,0.0
vaibhav tehale,col_c_k_nayudu,maharashtra,0,1,0,1,0.0
vaibhav yadav,ranji_trophy,bengal,0,1,0,1,0.0
vaibhav yadav,syed_mushtaq_ali_trophy,bengal,0,1,0,1,0.0
varun raj singh bisht,col_c_k_nayudu,vidarbha,0,1,0,1,0.0
vijay r,ranji_trophy,pondicherry,1,0,1,2,0.0
tripuresh singh,ranji_trophy,madhya pradesh,0,1,0,1,0.0
tripuresh singh,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
tripurana vijay,syed_mushtaq_ali_trophy,andhra,0,1,0,1,0.0
tripurana vijay,ranji_trophy,andhra,0,1,0,1,0.0
t natarajan,syed_mushtaq_ali_trophy,tamil nadu,0,1,0,1,0.0
tahmeed,ranji_trophy,nagaland,0,1,0,1,0.0
tahmeed,syed_mushtaq_ali_trophy,nagaland,0,1,0,1,0.0
tana james,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
tarun bisht,col_c_k_nayudu,delhi,0,1,0,1,0.0
techi dol,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
techi tania tara,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
teja reddy,col_c_k_nayudu,andhra,0,1,0,1,0.0
thomas brown,ecb_club,ormskirk,0,3,0,3,0.0
thomas brown,second_xi,sa,0,3,0,3,0.0
tilak varma,ranji_trophy,hyderabad,0,2,0,2,0.0
tilak varma,syed_mushtaq_ali_trophy,hyderabad,0,2,0,2,0.0
tleipuia,col_c_k_nayudu,mizoram,0,1,0,1,0.0
tleipuia,ranji_trophy,mizoram,0,1,0,1,0.0
tleipuia,syed_mushtaq_ali_trophy,mizoram,0,1,0,1,0.0
tom brooks,second_xi,victoria,0,3,0,3,0.0
tripurana vijay,col_c_k_nayudu,andhra,0,1,0,1,0.0
somokanta,col_c_k_nayudu,manipur,0,6,0,6,0.0
sohan jaif,col_c_k_nayudu,rajasthan,0,1,0,1,0.0
rohan kadam,syed_mushtaq_ali_trophy,goa,0,1,0,1,0.0
salman ahmed,col_c_k_nayudu,bengal,0,2,0,2,0.0
s akhil,syed_mushtaq_ali_trophy,andhra,0,2,0,2,0.0
s i sopariya,ranji_trophy,baroda,0,1,0,1,0.0
s i sopariya,syed_mushtaq_ali_trophy,baroda,0,1,0,1,0.0
s r athish,col_c_k_nayudu,tamil nadu,0,3,0,3,0.0
sa yadav,col_c_k_nayudu,rajasthan,0,1,0,1,0.0
sagen murmu,col_c_k_nayudu,bengal,0,1,0,1,0.0
sahil sheikh,col_c_k_nayudu,vidarbha,0,1,0,1,0.0
saksham purohit,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
sam brooks,ecb_club,golden hill,0,3,0,3,0.0
sameer rizvi,ranji_trophy,uttar pradesh,0,10,0,10,0.0
sam frankland,ecb_club,woodlands,0,5,0,5,0.0
sam little,ecb_club,horwich rmi,0,1,0,1,0.0
sam young,ecb_club,bath,0,1,0,1,0.0
samarpit thakur,col_c_k_nayudu,chhattisgarh,0,1,0,1,0.0
sambhav parakh,col_c_k_nayudu,pondicherry,0,1,0,1,0.0
sambit kumar sahoo,col_c_k_nayudu,odisha,0,1,0,1,0.0
sambit s baral,col_c_k_nayudu,odisha,0,1,0,1,0.0
sambit s baral,syed_mushtaq_ali_trophy,odisha,0,1,0,1,0.0
s akhil,ranji_trophy,andhra,0,2,0,2,0.0
s akhil,col_c_k_nayudu,andhra,0,2,0,2,0.0
ryan brown,ecb_club,formby,0,3,0,3,0.0
rp yadav,syed_mushtaq_ali_trophy,arunachal pradesh,0,1,0,1,0.0
rohit  d,ranji_trophy,pondicherry,0,2,0,2,0.0
rohit  d,syed_mushtaq_ali_trophy,pondicherry,0,2,0,2,0.0
rohit dwivedi,col_c_k_nayudu,uttar pradesh,0,1,0,1,0.0
rohit dwivedi,ranji_trophy,uttar pradesh,0,1,0,1,0.0
rohit dwivedi,syed_mushtaq_ali_trophy,uttar pradesh,0,1,0,1,0.0
rohit ghosh,col_c_k_nayudu,tripura,0,1,0,1,0.0
rohit kumar,col_c_k_nayudu,bengal,0,1,0,1,0.0
rohit kumar,ranji_trophy,bengal,0,1,0,1,0.0
rohit kumar,syed_mushtaq_ali_trophy,bengal,0,1,0,1,0.0
rohit ram,col_c_k_nayudu,bengal,0,1,0,1,0.0
rohit sen,col_c_k_nayudu,assam,0,1,0,1,0.0
rohit sen,syed_mushtaq_ali_trophy,assam,0,1,0,1,0.0
rohit singh rajawat,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
rohit v binkar,col_c_k_nayudu,vidarbha,0,1,0,1,0.0
roshan topno,col_c_k_nayudu,assam,0,16,0,16,0.0
rp garg,col_c_k_nayudu,rajasthan,0,1,0,1,0.0
rp yadav,ranji_trophy,arunachal pradesh,0,1,0,1,0.0
sameer rizvi,col_c_k_nayudu,uttar pradesh,0,10,0,10,0.0
sameer rizvi,syed_mushtaq_ali_trophy,uttar pradesh,0,10,0,10,0.0
snehal kauthankar,syed_mushtaq_ali_trophy,goa,0,1,0,1,0.0
shubham lamba,ranji_trophy,haryana,0,1,0,1,0.0
shlok,col_c_k_nayudu,bihar,0,6,0,6,0.0
shreshth yadav,col_c_k_nayudu,delhi,0,1,0,1,0.0
shreyas gopal,ranji_trophy,karnataka,0,2,0,2,0.0
shreyas gopal,syed_mushtaq_ali_trophy,karnataka,0,2,0,2,0.0
shubham kushwah,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
shubham kushwah,ranji_trophy,madhya pradesh,0,1,0,1,0.0
shubham kushwah,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
shubham lamba,col_c_k_nayudu,haryana,0,1,0,1,0.0
shubham lamba,syed_mushtaq_ali_trophy,haryana,0,1,0,1,0.0
sanju samson,ranji_trophy,kerala,2,4,2,8,0.0
shuhel ansari,ranji_trophy,arunachal pradesh,0,2,0,2,0.0
shuhel ansari,syed_mushtaq_ali_trophy,arunachal pradesh,0,2,0,2,0.0
simarjeet singh,ranji_trophy,delhi,0,1,0,1,0.0
simarjeet singh,syed_mushtaq_ali_trophy,delhi,0,1,0,1,0.0
smaran r,col_c_k_nayudu,karnataka,0,1,0,1,0.0
smaran r,ranji_trophy,karnataka,0,1,0,1,0.0
smaran r,syed_mushtaq_ali_trophy,karnataka,0,1,0,1,0.0
snehal kauthankar,ranji_trophy,goa,0,1,0,1,0.0
vikram,col_c_k_nayudu,pondicherry,0,1,0,1,0.0
sheiteendra,syed_mushtaq_ali_trophy,manipur,0,1,0,1,0.0
sheiteendra,ranji_trophy,manipur,0,1,0,1,0.0
shehzor diwan,col_c_k_nayudu,gujarat,0,3,0,3,0.0
sanju samson,syed_mushtaq_ali_trophy,kerala,2,4,2,8,0.0
nikhil,col_c_k_nayudu,chandigarh,0,3,0,3,0.0
saurabh verma,col_c_k_nayudu,gujarat,0,1,0,1,0.0
saurav,col_c_k_nayudu,nagaland,0,2,0,2,0.0
saurav,ranji_trophy,nagaland,0,2,0,2,0.0
saurav,syed_mushtaq_ali_trophy,nagaland,0,2,0,2,0.0
saurav dey,col_c_k_nayudu,assam,0,1,0,1,0.0
saurav mousum dihingia,col_c_k_nayudu,assam,0,1,0,1,0.0
saurav mousum dihingia,syed_mushtaq_ali_trophy,assam,0,1,0,1,0.0
scott howard,ecb_club,peterborough town,0,2,0,2,0.0
sehbaaz singh,col_c_k_nayudu,chandigarh,0,2,0,2,0.0
senglong rongpi,syed_mushtaq_ali_trophy,assam,0,1,0,1,0.0
seta,ranji_trophy,saurashtra,0,1,0,1,0.0
seta,syed_mushtaq_ali_trophy,saurashtra,0,1,0,1,0.0
vikrant,syed_mushtaq_ali_trophy,arunachal pradesh,0,1,0,1,0.0
vikrant,ranji_trophy,arunachal pradesh,0,1,0,1,0.0
shashank lokesh,col_c_k_nayudu,hyderabad,0,6,0,6,0.0
nikhil,syed_mushtaq_ali_trophy,chandigarh,0,3,0,3,0.0
m sai pratheek,syed_mushtaq_ali_trophy,hyderabad,0,1,0,1,0.0
nikhil,col_c_k_nayudu,arunachal pradesh,0,3,0,3,0.0
dipjyoti saikia,col_c_k_nayudu,assam,0,1,0,1,0.0
debopratim halder,col_c_k_nayudu,railways,0,1,0,1,0.0
deepak jagbir hooda,ranji_trophy,rajasthan,0,1,0,1,0.0
deepak jagbir hooda,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
deven,col_c_k_nayudu,himachal pradesh,2,1,2,5,0.0
dhruva rajesh bhatti,col_c_k_nayudu,baroda,0,1,0,1,0.0
dip borah,col_c_k_nayudu,nagaland,0,1,0,1,0.0
dip borah,ranji_trophy,nagaland,0,1,0,1,0.0
dip borah,syed_mushtaq_ali_trophy,nagaland,0,1,0,1,0.0
dipender kush,col_c_k_nayudu,chandigarh,0,1,0,1,0.0
divij mehra,col_c_k_nayudu,delhi,0,4,0,4,0.0
dane johnson,ranji_trophy,hyderabad,0,1,0,1,0.0
divij mehra,ranji_trophy,delhi,0,4,0,4,0.0
divij mehra,syed_mushtaq_ali_trophy,delhi,0,4,0,4,0.0
divyapratap,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
dominic brown,ecb_club,kimberley institute,0,3,0,3,0.0
dushyant kachhawaha,col_c_k_nayudu,rajasthan,0,1,0,1,0.0
dvs sriram,col_c_k_nayudu,andhra,0,4,0,4,0.0
e dharani kumar,col_c_k_nayudu,andhra,0,3,0,3,0.0
ed smith,ecb_club,tamworth,0,3,0,3,0.0
eshwar,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
dane johnson,syed_mushtaq_ali_trophy,hyderabad,0,1,0,1,0.0
damandeep singh,col_c_k_nayudu,railways,0,1,0,1,0.0
yash kadam,syed_mushtaq_ali_trophy,vidarbha,0,1,0,1,0.0
bipin,col_c_k_nayudu,meghalaya,0,1,0,1,0.0
bhargav bhatt,syed_mushtaq_ali_trophy,baroda,0,1,0,1,0.0
bhargav nandi,col_c_k_nayudu,andhra,0,1,0,1,0.0
bhavishya bhavesh patel,col_c_k_nayudu,baroda,0,1,0,1,0.0
bhim,ranji_trophy,sikkim,0,1,0,1,0.0
bhim,syed_mushtaq_ali_trophy,sikkim,0,1,0,1,0.0
bhushan subba,ranji_trophy,sikkim,0,1,0,1,0.0
bhushan subba,syed_mushtaq_ali_trophy,sikkim,0,1,0,1,0.0
bhuvneshwar kumar,ranji_trophy,uttar pradesh,0,1,0,1,0.0
bhuvneshwar kumar,syed_mushtaq_ali_trophy,uttar pradesh,0,1,0,1,0.0
boopathi vaishna kumar m,col_c_k_nayudu,tamil nadu,0,1,0,1,0.0
daaryoush ahmed,ecb_club,golden hill,0,1,0,1,0.0
boopathi vaishna kumar m,ranji_trophy,tamil nadu,0,1,0,1,0.0
boopathi vaishna kumar m,syed_mushtaq_ali_trophy,tamil nadu,0,1,0,1,0.0
bora,ranji_trophy,uttarakhand,0,4,0,4,0.0
bora,syed_mushtaq_ali_trophy,uttarakhand,0,4,0,4,0.0
brody couch,domestic_one_day,wa,0,3,0,3,0.0
brody couch,sheffield_shield,wa,0,3,0,3,0.0
charlie brain,ecb_club,bath,0,3,0,3,0.0
christopher garrard,ecb_club,witham,0,1,0,1,0.0
christopher hewison,ecb_club,south northumberland,0,1,0,1,0.0
fazil  rashid,ranji_trophy,j  k,0,1,0,1,0.0
fazil  rashid,syed_mushtaq_ali_trophy,j  k,0,1,0,1,0.0
fraser hawkins,ecb_club,moddershall  oulton,0,5,0,5,0.0
harry conway,second_xi,sa,0,3,0,3,0.0
hage tama,syed_mushtaq_ali_trophy,arunachal pradesh,0,1,0,1,0.0
hardik chowdhry,ranji_trophy,chandigarh,0,2,0,2,0.0
hardik chowdhry,syed_mushtaq_ali_trophy,chandigarh,0,2,0,2,0.0
harnoor singh,col_c_k_nayudu,punjab,0,15,0,15,0.0
harnoor singh,ranji_trophy,punjab,0,15,0,15,0.0
harnoor singh,syed_mushtaq_ali_trophy,punjab,0,15,0,15,0.0
harpreet brar,ranji_trophy,punjab,1,2,1,4,0.0
harpreet brar,syed_mushtaq_ali_trophy,punjab,1,2,1,4,0.0
harry conway,domestic_one_day,sa,0,3,0,3,0.0
harry conway,sheffield_shield,sa,0,3,0,3,0.0
fred egleston,ecb_club,wakefield thornes,0,5,0,5,0.0
harry dhaliwal,syed_mushtaq_ali_trophy,punjab,0,3,0,3,0.0
harry matthias,domestic_one_day,sa,0,3,0,3,0.0
harry matthias,second_xi,sa,0,3,0,3,0.0
harry matthias,sheffield_shield,sa,0,3,0,3,0.0
harry nielsen,domestic_one_day,sa,0,3,0,3,0.0
harry nielsen,second_xi,sa,0,3,0,3,0.0
harry nielsen,sheffield_shield,sa,0,3,0,3,0.0
harsh tanna,ranji_trophy,mumbai,0,1,0,1,0.0
nick langford,ecb_club,cuckney,0,1,0,1,0.0
hage tama,ranji_trophy,arunachal pradesh,0,1,0,1,0.0
h a walunj,syed_mushtaq_ali_trophy,maharashtra,0,1,0,1,0.0
h a walunj,ranji_trophy,maharashtra,0,1,0,1,0.0
gurjapneet,syed_mushtaq_ali_trophy,tamil nadu,0,2,0,2,0.0
freddie doorbar,ecb_club,longton,0,5,0,5,0.0
g rithish reddy,col_c_k_nayudu,hyderabad,0,3,0,3,0.0
g rithish reddy,ranji_trophy,hyderabad,0,3,0,3,0.0
g rithish reddy,syed_mushtaq_ali_trophy,hyderabad,0,3,0,3,0.0
g sumith,col_c_k_nayudu,andhra,0,4,0,4,0.0
gaurang,col_c_k_nayudu,saurashtra,0,1,0,1,0.0
gaurang,ranji_trophy,saurashtra,0,1,0,1,0.0
gaurang,syed_mushtaq_ali_trophy,saurashtra,0,1,0,1,0.0
gaurav chaturvedi,col_c_k_nayudu,chhattisgarh,0,1,0,1,0.0
gaurav mehra,col_c_k_nayudu,delhi,0,3,0,3,0.0
gaurav sabharwal,col_c_k_nayudu,delhi,0,1,0,1,0.0
gauravdeep singh gill,col_c_k_nayudu,chandigarh,0,2,0,2,0.0
gavineal marpna,col_c_k_nayudu,meghalaya,0,1,0,1,0.0
george politis,ecb_club,ormskirk,0,1,0,1,0.0
girraj sharma,col_c_k_nayudu,madhya pradesh,0,3,0,3,0.0
